Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Pos1,Pos2
1299,Lee Kang-in,KOR,Paris S-G,Ligue 1,22.0,2001.0,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50.0,103.0,150.0,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23,FW,MF
1300,Yann Karamoh,FRA,Torino,Serie A,25.0,1998.0,10,1,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,MF,FW
1301,Yann Karamoh,FRA,Montpellier,Ligue 1,25.0,1998.0,12,1,284,3.2,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,7.0,3.0,28.0,0.32,0.0,0.32,0.32,0.32,0.26,0.06,0.32,0.26,0.32,FW,MF
1302,Atakan Karazor,GER,Stuttgart,Bundesliga,26.0,1996.0,33,31,2623,29.1,0,4,4,0,0,0,9,0,1.0,1.0,2.6,3.6,24.0,142.0,31.0,0.0,0.14,0.14,0.0,0.14,0.04,0.09,0.13,0.03,0.12,MF,
1303,Ayman Kari,FRA,Lorient,Ligue 1,18.0,2004.0,14,12,893,9.9,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5,22.0,37.0,53.0,0.1,0.1,0.2,0.1,0.2,0.06,0.08,0.15,0.06,0.15,MF,
1304,Emir Karic,AUT,Darmstadt 98,Bundesliga,26.0,1997.0,27,18,1783,19.8,0,0,0,0,0,0,4,0,0.4,0.4,1.3,1.7,56.0,115.0,85.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,DF,
1305,Loris Karius,GER,Newcastle Utd,Premier League,30.0,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1306,Jesper Karlsson,SWE,Bologna,Serie A,25.0,1998.0,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13.0,16.0,35.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.19,0.11,0.19,FW,
1307,Jon Karrikaburu,ESP,Alavés,La Liga,20.0,2002.0,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,FW
1308,Rick Karsdorp,NED,Roma,Serie A,28.0,1995.0,18,14,1191,13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,12.0,33.0,71.0,0.0,0.15,0.15,0.0,0.15,0.03,0.17,0.2,0.03,0.2,DF,
1309,Grigoris Kastanos,CYP,Salernitana,Serie A,25.0,1998.0,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28.0,78.0,69.0,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35,MF,DF
1310,Silas Katompa,COD,Stuttgart,Bundesliga,24.0,1998.0,27,8,900,10.0,5,2,7,5,0,1,0,0,5.7,4.9,2.3,7.2,49.0,25.0,130.0,0.5,0.2,0.7,0.5,0.7,0.57,0.23,0.8,0.49,0.72,FW,MF
1311,Panos Katseris,GRE,Lorient,Ligue 1,22.0,2001.0,15,13,1041,11.6,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9,24.0,21.0,86.0,0.09,0.09,0.17,0.09,0.17,0.18,0.07,0.25,0.18,0.25,DF,
1312,Mikkel Kaufmann,DEN,Union Berlin,Bundesliga,22.0,2001.0,18,4,486,5.4,1,0,1,1,0,0,0,0,1.3,1.3,1.0,2.3,6.0,11.0,34.0,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42,FW,
1313,Michael Kayode,ITA,Fiorentina,Serie A,19.0,2004.0,26,22,2058,22.9,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,45.0,80.0,102.0,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,DF,
1314,Moise Kean,ITA,Juventus,Serie A,23.0,2000.0,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,FW,
1315,Michael Keane,ENG,Everton,Premier League,30.0,1993.0,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.0,0.7,4.0,14.0,3.0,0.21,0.0,0.21,0.21,0.21,0.14,0.0,0.14,0.14,0.14,DF,
1316,Ibrahima Kebe,MLI,Girona,La Liga,22.0,2000.0,2,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,
1317,Kévin Keben Biakolo,CMR,Toulouse,Ligue 1,19.0,2004.0,8,7,521,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,DF,
1318,Yassine Kechta,MAR,Le Havre,Ligue 1,21.0,2002.0,32,21,1849,20.5,2,1,3,2,0,0,4,0,1.6,1.6,2.2,3.8,41.0,122.0,67.0,0.1,0.05,0.15,0.1,0.15,0.08,0.11,0.19,0.08,0.19,MF,
1319,Thilo Kehrer,GER,West Ham,Premier League,26.0,1996.0,4,0,22,0.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,MF
1320,Thilo Kehrer,GER,Monaco,Ligue 1,26.0,1996.0,15,15,1323,14.7,1,1,2,1,0,0,4,1,0.7,0.7,1.1,1.8,13.0,90.0,16.0,0.07,0.07,0.14,0.07,0.14,0.05,0.07,0.12,0.05,0.12,DF,
1321,Habib Keita,MLI,Clermont Foot,Ligue 1,21.0,2002.0,27,12,1278,14.2,1,0,1,1,0,0,4,0,0.7,0.7,0.6,1.3,9.0,53.0,23.0,0.07,0.0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09,MF,
1322,Naby Keïta,GUI,Werder Bremen,Bundesliga,28.0,1995.0,5,1,109,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,MF,DF
1323,Yannik Keitel,GER,Freiburg,Bundesliga,23.0,2000.0,15,11,920,10.2,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,4.0,48.0,7.0,0.1,0.0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,DF,MF
1324,Caoimhín Kelleher,IRL,Liverpool,Premier League,24.0,1998.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1325,Thomas Keller,GER,Heidenheim,Bundesliga,23.0,1999.0,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,FW
1326,Lloyd Kelly,ENG,Bournemouth,Premier League,24.0,1998.0,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15.0,56.0,28.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,DF,
1327,Omari Kellyman,ENG,Aston Villa,Premier League,17.0,2005.0,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,FW,
1328,Aljoscha Kemlein,GER,Union Berlin,Bundesliga,18.0,2004.0,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,MF,
1329,Tobias Kempe,GER,Darmstadt 98,Bundesliga,34.0,1989.0,24,15,1350,15.0,3,2,5,0,3,3,1,0,3.6,1.2,2.1,3.3,15.0,44.0,46.0,0.2,0.13,0.33,0.0,0.13,0.24,0.14,0.38,0.08,0.22,MF,
1330,Milos Kerkez,HUN,Bournemouth,Premier League,19.0,2003.0,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2.0,46.0,44.0,93.0,0.0,0.05,0.05,0.0,0.05,0.06,0.04,0.09,0.06,0.09,DF,
1331,Kaine Kesler-Hayden,ENG,Aston Villa,Premier League,20.0,2002.0,3,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,DF
1332,Reda Khadra,GER,Reims,Ligue 1,22.0,2001.0,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35.0,40.0,110.0,0.07,0.2,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35,FW,MF
1333,Wahbi Khazri,TUN,Montpellier,Ligue 1,32.0,1991.0,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27.0,33.0,76.0,0.08,0.0,0.08,0.08,0.08,0.26,0.1,0.36,0.26,0.36,FW,
1334,Rani Khedira,GER,Union Berlin,Bundesliga,29.0,1994.0,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.4,0.4,0.1,0.5,6.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,MF,
1335,Abdukodir Khusanov,UZB,Lens,Ligue 1,19.0,2004.0,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,DF,
1336,Kiké,ESP,Alavés,La Liga,33.0,1989.0,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2.0,8.9,18.0,32.0,97.0,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,FW,MF
1337,Luca Kilian,GER,Köln,Bundesliga,23.0,1999.0,13,6,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,DF,
1338,Max Kilman,ENG,Wolves,Premier League,26.0,1997.0,38,38,3420,38.0,2,0,2,2,0,0,7,0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.0,0.05,0.05,0.05,0.05,0.04,0.08,0.05,0.08,DF,
1339,Joshua Kimmich,GER,Bayern Munich,Bundesliga,28.0,1995.0,28,27,2176,24.2,1,6,7,1,0,0,1,1,1.1,1.1,7.1,8.3,56.0,229.0,114.0,0.04,0.25,0.29,0.04,0.29,0.05,0.3,0.34,0.05,0.34,MF,DF
1340,Jakub Kiwior,POL,Arsenal,Premier League,23.0,2000.0,20,11,946,10.5,1,3,4,1,0,0,1,0,0.8,0.8,0.9,1.7,4.0,55.0,16.0,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,DF,
1341,Simon Kjær,DEN,Milan,Serie A,34.0,1989.0,20,14,1171,13.0,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.3,4.0,52.0,0.0,0.0,0.08,0.08,0.0,0.08,0.04,0.06,0.1,0.04,0.1,DF,
1342,Davy Klaassen,NED,Inter,Serie A,30.0,1993.0,13,1,206,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13,MF,
1343,Christoph Klarer,AUT,Darmstadt 98,Bundesliga,23.0,2000.0,30,28,2354,26.2,2,2,4,2,0,0,9,0,1.2,1.2,0.9,2.1,9.0,64.0,11.0,0.08,0.08,0.15,0.08,0.15,0.05,0.04,0.08,0.05,0.08,DF,
1344,Tim Kleindienst,GER,Heidenheim,Bundesliga,27.0,1995.0,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40.0,73.0,178.0,0.38,0.09,0.47,0.31,0.41,0.44,0.1,0.54,0.39,0.49,FW,
1345,Lukas Klostermann,GER,RB Leipzig,Bundesliga,27.0,1996.0,25,16,1436,16.0,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.1,14.0,90.0,13.0,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,DF,
1346,Justin Kluivert,NED,Bournemouth,Premier League,24.0,1999.0,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65.0,50.0,114.0,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38,MF,FW
1347,Ansgar Knauff,GER,Eint Frankfurt,Bundesliga,21.0,2002.0,31,24,2109,23.4,7,2,9,7,0,0,7,1,5.7,5.7,2.3,8.0,77.0,57.0,164.0,0.3,0.09,0.38,0.3,0.38,0.24,0.1,0.34,0.24,0.34,MF,DF
1348,Robin Knoche,GER,Union Berlin,Bundesliga,31.0,1992.0,24,20,1917,21.3,1,0,1,1,0,1,1,0,1.2,0.4,0.3,0.7,2.0,71.0,2.0,0.05,0.0,0.05,0.05,0.05,0.06,0.01,0.07,0.02,0.03,DF,
1349,Gregor Kobel,SUI,Dortmund,Bundesliga,25.0,1997.0,27,27,2365,26.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1350,Robin Koch,GER,Eint Frankfurt,Bundesliga,27.0,1996.0,31,31,2738,30.4,2,0,2,2,0,0,10,0,3.1,3.1,0.2,3.3,14.0,116.0,3.0,0.07,0.0,0.07,0.07,0.07,0.1,0.01,0.11,0.1,0.11,DF,
1351,Philipp Köhn,SUI,Monaco,Ligue 1,25.0,1998.0,22,22,1980,22.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1352,Dominik Kohr,GER,Mainz 05,Bundesliga,29.0,1994.0,31,27,2184,24.3,1,0,1,1,0,0,15,1,1.6,1.6,1.2,2.8,19.0,99.0,26.0,0.04,0.0,0.04,0.04,0.04,0.07,0.05,0.12,0.07,0.12,DF,MF
1353,Koke,ESP,Atlético Madrid,La Liga,31.0,1992.0,35,32,2493,27.7,0,4,4,0,0,0,5,0,0.4,0.4,3.6,4.1,26.0,212.0,26.0,0.0,0.14,0.14,0.0,0.14,0.02,0.13,0.15,0.02,0.15,MF,
1354,Sead Kolašinac,BIH,Atalanta,Serie A,30.0,1993.0,30,25,2178,24.2,1,0,1,1,0,0,4,0,1.3,1.3,1.1,2.4,32.0,94.0,30.0,0.04,0.0,0.04,0.04,0.04,0.06,0.04,0.1,0.06,0.1,DF,
1355,Luca Koleosho,ITA,Burnley,Premier League,18.0,2004.0,15,13,974,10.8,1,1,2,1,0,0,0,0,2.0,2.0,1.3,3.3,53.0,19.0,82.0,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3,MF,FW
1356,Randal Kolo Muani,FRA,Paris S-G,Ligue 1,24.0,1998.0,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36.0,42.0,125.0,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66,FW,MF
1357,Randal Kolo Muani,FRA,Eint Frankfurt,Bundesliga,24.0,1998.0,2,2,153,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,6.0,3.0,9.0,0.59,0.0,0.59,0.59,0.59,0.77,0.0,0.77,0.77,0.77,FW,
1358,Mert Kömür,GER,Augsburg,Bundesliga,18.0,2005.0,4,1,118,1.3,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7.0,4.0,9.0,0.76,0.0,0.76,0.76,0.76,0.15,0.02,0.17,0.15,0.17,MF,DF
1359,Cheick Konaté,MLI,Clermont Foot,Ligue 1,19.0,2004.0,19,12,1068,11.9,1,1,2,1,0,0,4,0,0.5,0.5,1.6,2.1,22.0,37.0,86.0,0.08,0.08,0.17,0.08,0.17,0.04,0.13,0.18,0.04,0.18,DF,
1360,Ibrahima Konaté,FRA,Liverpool,Premier League,24.0,1999.0,22,17,1574,17.5,0,0,0,0,0,0,5,1,0.7,0.7,0.4,1.1,24.0,118.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,DF,
1361,Geoffrey Kondogbia,CTA,Marseille,Ligue 1,30.0,1993.0,26,15,1463,16.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,7.0,93.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.02,0.06,MF,
1362,Abdoul Koné,FRA,Reims,Ligue 1,18.0,2005.0,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,DF,
1363,Amadou Koné,MLI,Reims,Ligue 1,18.0,2005.0,16,4,475,5.3,0,0,0,0,0,0,4,1,0.3,0.3,0.2,0.4,2.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,MF,
1364,Ibrahima Koné,MLI,Almería,La Liga,24.0,1999.0,9,2,277,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,FW,
1365,Ibrahima Koné,MLI,Lorient,Ligue 1,24.0,1999.0,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,
1366,Manu Koné,FRA,Gladbach,Bundesliga,22.0,2001.0,22,18,1561,17.3,1,0,1,1,0,0,4,1,1.2,1.2,1.2,2.4,42.0,70.0,56.0,0.06,0.0,0.06,0.06,0.06,0.07,0.07,0.14,0.07,0.14,MF,
1367,Ezri Konsa,ENG,Aston Villa,Premier League,25.0,1997.0,35,35,3069,34.1,1,0,1,1,0,0,5,0,2.5,2.5,0.5,3.0,37.0,136.0,33.0,0.03,0.0,0.03,0.03,0.03,0.07,0.02,0.09,0.07,0.09,DF,
1368,Teun Koopmeiners,NED,Atalanta,Serie A,25.0,1998.0,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5.0,5.9,10.9,79.0,169.0,190.0,0.41,0.17,0.58,0.34,0.51,0.22,0.2,0.43,0.17,0.37,MF,
1369,Odilon Kossonou,CIV,Leverkusen,Bundesliga,22.0,2001.0,22,21,1811,20.1,1,0,1,1,0,0,3,0,0.6,0.6,0.7,1.3,48.0,141.0,23.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,DF,
1370,Filip Kostić,SRB,Juventus,Serie A,30.0,1992.0,29,26,1815,20.2,0,4,4,0,0,0,2,0,0.7,0.7,5.4,6.1,64.0,88.0,95.0,0.0,0.2,0.2,0.0,0.2,0.03,0.27,0.3,0.03,0.3,DF,
1371,Christian Kouamé,CIV,Fiorentina,Serie A,25.0,1997.0,23,11,1089,12.1,2,1,3,2,0,0,0,0,1.9,1.9,1.8,3.7,12.0,41.0,110.0,0.17,0.08,0.25,0.17,0.25,0.16,0.15,0.31,0.16,0.31,FW,
1372,Rominigue Kouamé,MLI,Cádiz,La Liga,26.0,1996.0,16,9,821,9.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,16.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,MF,
1373,Koffi Kouao,CIV,Metz,Ligue 1,25.0,1998.0,13,10,860,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,10.0,29.0,29.0,0.0,0.21,0.21,0.0,0.21,0.02,0.16,0.18,0.02,0.18,DF,
1374,Tomáš Koubek,CZE,Augsburg,Bundesliga,30.0,1992.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1375,Therence Koudou,FRA,Reims,Ligue 1,18.0,2004.0,9,3,314,3.5,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.3,8.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,DF,
1376,Jules Koundé,FRA,Barcelona,La Liga,24.0,1998.0,35,32,2899,32.2,1,2,3,1,0,0,4,0,2.0,2.0,2.2,4.2,67.0,245.0,64.0,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,DF,
1377,Boubakar Kouyaté,MLI,Montpellier,Ligue 1,26.0,1997.0,23,22,1928,21.4,0,2,2,0,0,0,5,1,0.8,0.8,1.3,2.1,4.0,58.0,3.0,0.0,0.09,0.09,0.0,0.09,0.04,0.06,0.1,0.04,0.1,DF,
1378,Cheikhou Kouyaté,SEN,Nott'ham Forest,Premier League,33.0,1989.0,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,MF,
1379,Mateo Kovačić,CRO,Manchester City,Premier League,29.0,1994.0,30,16,1551,17.2,1,0,1,1,0,0,4,0,1.3,1.3,1.6,2.9,37.0,100.0,38.0,0.06,0.0,0.06,0.06,0.06,0.07,0.09,0.17,0.07,0.17,MF,
1380,Viktor Kovalenko,UKR,Empoli,Serie A,27.0,1996.0,17,4,613,6.8,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.7,4.0,20.0,24.0,0.15,0.15,0.29,0.15,0.29,0.14,0.12,0.25,0.14,0.25,MF,
1381,Matej Kovar,CZE,Leverkusen,Bundesliga,23.0,2000.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,
1382,Dawid Kownacki,POL,Werder Bremen,Bundesliga,26.0,1997.0,22,3,380,4.2,0,0,0,0,0,0,0,0,1.3,1.3,0.4,1.6,5.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.31,0.08,0.39,0.31,0.39,FW,
1383,Emil Krafth,SWE,Newcastle Utd,Premier League,28.0,1994.0,17,8,913,10.1,0,0,0,0,0,0,2,0,0.2,0.2,1.0,1.2,12.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,DF,
1384,Alex Král,CZE,Union Berlin,Bundesliga,25.0,1998.0,24,13,1370,15.2,0,0,0,0,0,0,2,0,1.7,1.7,0.4,2.0,15.0,44.0,41.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,MF,
1385,Andrej Kramarić,CRO,Hoffenheim,Bundesliga,32.0,1991.0,30,25,2199,24.4,15,6,21,10,5,5,4,0,11.1,7.1,7.3,14.5,71.0,119.0,175.0,0.61,0.25,0.86,0.41,0.65,0.45,0.3,0.75,0.29,0.59,MF,FW
1386,Christoph Kramer,GER,Gladbach,Bundesliga,32.0,1991.0,14,1,249,2.8,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,10.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,MF,
1387,Frans Krätzig,GER,Bayern Munich,Bundesliga,20.0,2003.0,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.84,0.42,0.84,DF,
1388,Tom Krauß,GER,Mainz 05,Bundesliga,22.0,2001.0,29,13,1346,15.0,1,2,3,1,0,0,5,0,0.8,0.8,0.4,1.2,12.0,68.0,29.0,0.07,0.13,0.2,0.07,0.2,0.05,0.03,0.08,0.05,0.08,MF,
1389,Rasmus Kristensen,DEN,Roma,Serie A,26.0,1997.0,29,19,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.9,1.5,16.0,40.0,115.0,0.05,0.05,0.1,0.05,0.1,0.03,0.05,0.08,0.03,0.08,DF,
1390,Thomas Kristensen,DEN,Udinese,Serie A,21.0,2002.0,26,23,2096,23.3,0,1,1,0,0,0,4,1,1.1,1.1,0.4,1.5,20.0,47.0,3.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.06,0.05,0.06,DF,
1391,Toni Kroos,GER,Real Madrid,La Liga,33.0,1990.0,33,24,2124,23.6,1,8,9,1,0,0,3,0,1.6,1.6,4.9,6.5,32.0,290.0,29.0,0.04,0.34,0.38,0.04,0.38,0.07,0.21,0.28,0.07,0.28,MF,
1392,Nikola Krstović,MNE,Lecce,Serie A,23.0,2000.0,35,30,2373,26.4,7,1,8,6,1,3,4,1,11.6,9.2,3.0,12.3,32.0,52.0,126.0,0.27,0.04,0.3,0.23,0.27,0.44,0.11,0.55,0.35,0.46,FW,
1393,Rade Krunić,BIH,Milan,Serie A,29.0,1993.0,10,8,687,7.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.02,0.08,MF,
1394,Lukas Kübler,GER,Freiburg,Bundesliga,30.0,1992.0,26,22,1847,20.5,1,0,1,1,0,0,7,0,0.6,0.6,0.3,0.9,13.0,70.0,32.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.04,0.03,0.04,DF,
1395,Takefusa Kubo,JPN,Real Sociedad,La Liga,22.0,2001.0,30,24,2150,23.9,7,4,11,7,0,0,1,0,3.5,3.5,6.4,9.9,136.0,89.0,231.0,0.29,0.17,0.46,0.29,0.46,0.15,0.27,0.42,0.15,0.42,FW,MF
1396,Mahmut Kücüksahin,ESP,Augsburg,Bundesliga,19.0,2004.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,
1397,Mohammed Kudus,GHA,West Ham,Premier League,22.0,2000.0,33,27,2484,27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,117.0,80.0,216.0,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31,FW,MF
1398,Christian Kühlwetter,GER,Heidenheim,Bundesliga,27.0,1996.0,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,1.0,0.0,0.0,0.0,11.25,11.25,0.0,11.25,0.0,6.85,6.85,0.0,6.85,MF,
1399,Dejan Kulusevski,SWE,Tottenham,Premier League,23.0,2000.0,36,31,2762,30.7,8,3,11,8,0,0,7,0,4.7,4.7,7.7,12.4,151.0,144.0,388.0,0.26,0.1,0.36,0.26,0.36,0.15,0.25,0.4,0.15,0.4,FW,MF
